id,name,symbol,quote.GBP.price,quote.GBP.volume_24h,quote.GBP.volume_change_24h,quote.GBP.percent_change_1h,quote.GBP.percent_change_24h,quote.GBP.percent_change_7d,quote.GBP.percent_change_30d,quote.GBP.percent_change_60d,quote.GBP.percent_change_90d,timestamp
3408,USD Coin,USDC,0.807577542,1736581157,-19.4241,0.00319242,-0.0073275,-0.02506771,0.01694305,0.03816846,0.008827,41:38.6
2010,Cardano,ADA,0.201986671,89794835.17,-1.4951,0.00112381,1.03570148,-1.66526612,-7.48186034,-17.93691776,-6.84555658,41:38.6
74,Dogecoin,DOGE,0.05024794,132492812.3,6.6797,0.02631777,0.58557924,-2.16402737,-5.21282074,-9.05514252,-1.1685191,41:38.6
5426,Solana,SOL,15.34420999,154118422.9,2.5357,-0.07696878,0.78579749,-2.73912267,-17.81739904,-25.26264636,20.5425361,41:38.6
11419,Toncoin,TON,1.801345416,68323753.49,123.3182,1.33301275,12.64786767,24.38259726,60.66816294,61.06562958,57.76528604,41:38.6
1958,TRON,TRX,0.067602836,125745714.7,-19.5649,-0.04659622,-0.0892648,5.92750614,12.1587024,4.9745473,18.61649268,41:38.6
4943,Dai,DAI,0.807499976,64222849.64,-1.1734,0.04708996,0.01113954,-0.0074787,0.13763166,0.0809401,-0.00234886,41:38.6
6636,Polkadot,DOT,3.352508144,71028454.57,-7.3624,-0.26531582,0.74834181,-2.49752568,-11.63908023,-19.9017151,-9.59909011,41:38.6
3890,Polygon,MATIC,0.425977954,158930756.4,2.9968,0.09534586,1.47625136,-2.58674922,-12.34944722,-29.17488759,-14.329036,41:38.6
2,Litecoin,LTC,52.21836965,212345765.1,8.059,-0.01395273,0.84723328,2.51195456,-12.36482621,-29.09354049,-17.10227361,41:38.6
1,Bitcoin,BTC,21425.0034,7364595082,-18.5239,-0.01815607,0.74962078,2.4651891,-5.23677345,-11.24724416,-0.17998866,41:39.2
1027,Ethereum,ETH,1320.836219,3025658135,-6.2127,-0.0515321,1.01127662,0.00992957,-6.21486845,-13.77243532,-6.01338769,41:39.2
825,Tether USDt,USDT,0.807638718,13888601755,-5.9923,0.00840678,0.00806781,0.02638308,0.15453045,0.04233881,0.03638803,41:39.2
1839,BNB,BNB,173.1189187,492305617.5,71.0459,0.18411579,1.04738103,-0.38358565,-4.91074602,-10.68498165,-13.28190323,41:39.2
52,XRP,XRP,0.403567597,495909122.6,-32.7786,-0.08769157,1.25133992,-0.85044466,-13.45968888,-33.9555298,1.2611471,41:39.2
3408,USD Coin,USDC,0.807577542,1736581157,-19.4241,0.00319242,-0.0073275,-0.02506771,0.01694305,0.03816846,0.008827,41:39.2
2010,Cardano,ADA,0.201986671,89794835.17,-1.4951,0.00112381,1.03570148,-1.66526612,-7.48186034,-17.93691776,-6.84555658,41:39.2
74,Dogecoin,DOGE,0.05024794,132492812.3,6.6797,0.02631777,0.58557924,-2.16402737,-5.21282074,-9.05514252,-1.1685191,41:39.2
5426,Solana,SOL,15.34420999,154118422.9,2.5357,-0.07696878,0.78579749,-2.73912267,-17.81739904,-25.26264636,20.5425361,41:39.2
11419,Toncoin,TON,1.801345416,68323753.49,123.3182,1.33301275,12.64786767,24.38259726,60.66816294,61.06562958,57.76528604,41:39.2
1958,TRON,TRX,0.067602836,125745714.7,-19.5649,-0.04659622,-0.0892648,5.92750614,12.1587024,4.9745473,18.61649268,41:39.2
4943,Dai,DAI,0.807499976,64222849.64,-1.1734,0.04708996,0.01113954,-0.0074787,0.13763166,0.0809401,-0.00234886,41:39.2
6636,Polkadot,DOT,3.352508144,71028454.57,-7.3624,-0.26531582,0.74834181,-2.49752568,-11.63908023,-19.9017151,-9.59909011,41:39.2
3890,Polygon,MATIC,0.425977954,158930756.4,2.9968,0.09534586,1.47625136,-2.58674922,-12.34944722,-29.17488759,-14.329036,41:39.2
2,Litecoin,LTC,52.21836965,212345765.1,8.059,-0.01395273,0.84723328,2.51195456,-12.36482621,-29.09354049,-17.10227361,41:39.2
1,Bitcoin,BTC,21427.35338,7355225690,-18.0989,-0.01272095,0.75161614,2.52890637,-5.09001479,-10.8948578,-0.17511578,49:42.3
1027,Ethereum,ETH,1321.159764,3024184089,-5.3346,-0.01312671,0.98598922,0.09364146,-6.06277036,-13.34137174,-5.96010764,49:42.3
825,Tether USDt,USDT,0.807745552,13882477623,-5.5893,0.01511426,0.05605725,0.06402593,0.16617296,0.05496235,0.04780531,49:42.3
1839,BNB,BNB,173.116513,491561727.6,70.7924,0.14555929,1.00671232,-0.32914766,-4.98135243,-10.44858929,-13.24476584,49:42.3
52,XRP,XRP,0.403586113,495258835.2,-32.7771,-0.08162367,1.24138707,-0.86652619,-13.45057436,-33.93795763,1.32960033,49:42.3
3408,USD Coin,USDC,0.807662826,1731477734,-19.0411,0.01158276,0.04063722,0.00917522,0.0265276,0.04851949,0.01383375,49:42.3
2010,Cardano,ADA,0.202040631,89726881.29,-1.1656,-0.02110021,1.10108318,-1.59456278,-7.4265925,-17.64006886,-6.82882561,49:42.3
74,Dogecoin,DOGE,0.05024145,132291565.9,6.5094,0.00770249,0.51649282,-2.12787885,-5.23409511,-8.77358678,-1.09665871,49:42.3
5426,Solana,SOL,15.34277843,153861973.8,2.5793,-0.07307794,0.75772194,-2.68650593,-17.70004087,-24.8441931,20.59773863,49:42.3
11419,Toncoin,TON,1.80849899,68537968.93,123.8742,1.92245147,13.09240019,25.03692476,61.4091087,61.93325645,58.19865547,49:42.3
1958,TRON,TRX,0.06759331,125699490.5,-19.6421,0.0241442,-0.17888724,5.93480419,12.11993574,5.04723233,18.60013094,49:42.3
4943,Dai,DAI,0.807567233,64466861.83,-0.584,0.04830284,0.01224326,0.01264966,0.12775241,0.16528131,-0.0034608,49:42.3
6636,Polkadot,DOT,3.351595729,71094341.32,-6.9778,-0.34213486,0.7641373,-2.46358872,-11.70380215,-19.61229468,-9.62628714,49:42.3
3890,Polygon,MATIC,0.426101506,158242479.7,3.5619,0.12784827,1.53439246,-2.52110417,-12.21220993,-28.80266968,-14.23451272,49:42.3
2,Litecoin,LTC,52.2419445,211671884.1,7.5689,0.0686565,0.41472012,2.56935187,-12.4351966,-28.82804666,-17.27069662,49:42.3
1,Bitcoin,BTC,21424.4611,7330525746,-18.2105,0.00695477,0.58353266,2.47753896,-4.85769865,-10.71764139,-0.28019377,00:18.7
1027,Ethereum,ETH,1321.653135,3018793414,-4.9462,0.06113563,0.88087128,0.1041379,-5.86009891,-13.18124773,-6.07812575,00:18.7
825,Tether USDt,USDT,0.807586862,13848403149,-5.7673,-0.030813,0.0319152,0.04368664,0.14956066,0.02695848,0.03569365,00:18.7
1839,BNB,BNB,173.1725539,489932465.9,68.9735,0.14561659,0.97648032,-0.29463347,-4.63107227,-10.27589052,-13.25729251,00:18.7
52,XRP,XRP,0.404009105,494712799.4,-32.8867,0.08735883,1.2026409,-0.78950831,-13.17162392,-33.31313512,1.40029905,00:18.7
3408,USD Coin,USDC,0.807528678,1724936313,-19.0142,-0.03152466,0.01536022,-0.0045459,0.01574496,0.03150204,-0.00846856,00:18.7
2010,Cardano,ADA,0.202082958,89764525.05,-1.185,0.05724923,1.06050008,-1.57518839,-7.06373364,-17.35050643,-6.7805056,00:18.7
74,Dogecoin,DOGE,0.050234377,131410544.3,4.7255,-0.03967391,0.27290426,-2.16471221,-4.80322384,-8.33956603,-1.21619089,00:18.7
5426,Solana,SOL,15.35458994,153633766.7,2.2822,0.04717458,0.75153907,-2.68555128,-17.22789659,-25.11229823,20.62571564,00:18.7
11419,Toncoin,TON,1.809141382,68571265.71,123.2062,2.10176558,13.29884167,25.25530747,61.87321855,62.22176151,58.19330234,00:18.7
1958,TRON,TRX,0.067613564,125222408.5,-20.2038,0.05176324,-0.13384846,5.94625792,12.26016366,5.62543219,18.56362938,00:18.7
4943,Dai,DAI,0.807484792,64484544.79,1.9368,0.02644583,-0.02418957,-0.00743299,0.15567163,0.12253547,-0.02076084,00:18.7
6636,Polkadot,DOT,3.352473336,70961328.68,-7.15,-0.23038457,0.83302791,-2.44606818,-11.34861494,-19.34183703,-9.67076955,00:18.7
3890,Polygon,MATIC,0.426270167,158449192.3,3.2947,0.13689206,1.44911418,-2.47030375,-12.04445711,-28.57530189,-14.3390182,00:18.7
2,Litecoin,LTC,52.26168831,208317169.6,3.7714,0.13233672,0.21250915,2.53852546,-12.09063822,-28.50358806,-17.38502628,00:18.7
1,Bitcoin,BTC,21424.4611,7330525746,-18.2105,0.00695477,0.58353266,2.47753896,-4.85769865,-10.71764139,-0.28019377,00:24.0
1027,Ethereum,ETH,1321.653135,3018793414,-4.9462,0.06113563,0.88087128,0.1041379,-5.86009891,-13.18124773,-6.07812575,00:24.0
825,Tether USDt,USDT,0.807586862,13848403149,-5.7673,-0.030813,0.0319152,0.04368664,0.14956066,0.02695848,0.03569365,00:24.0
1839,BNB,BNB,173.1725539,489932465.9,68.9735,0.14561659,0.97648032,-0.29463347,-4.63107227,-10.27589052,-13.25729251,00:24.0
52,XRP,XRP,0.404009105,494712799.4,-32.8867,0.08735883,1.2026409,-0.78950831,-13.17162392,-33.31313512,1.40029905,00:24.0
3408,USD Coin,USDC,0.807528678,1724936313,-19.0142,-0.03152466,0.01536022,-0.0045459,0.01574496,0.03150204,-0.00846856,00:24.0
2010,Cardano,ADA,0.202082958,89764525.05,-1.185,0.05724923,1.06050008,-1.57518839,-7.06373364,-17.35050643,-6.7805056,00:24.0
74,Dogecoin,DOGE,0.050234377,131410544.3,4.7255,-0.03967391,0.27290426,-2.16471221,-4.80322384,-8.33956603,-1.21619089,00:24.0
5426,Solana,SOL,15.35458994,153633766.7,2.2822,0.04717458,0.75153907,-2.68555128,-17.22789659,-25.11229823,20.62571564,00:24.0
11419,Toncoin,TON,1.809141382,68571265.71,123.2062,2.10176558,13.29884167,25.25530747,61.87321855,62.22176151,58.19330234,00:24.0
1958,TRON,TRX,0.067613564,125222408.5,-20.2038,0.05176324,-0.13384846,5.94625792,12.26016366,5.62543219,18.56362938,00:24.0
4943,Dai,DAI,0.807484792,64484544.79,1.9368,0.02644583,-0.02418957,-0.00743299,0.15567163,0.12253547,-0.02076084,00:24.0
6636,Polkadot,DOT,3.352473336,70961328.68,-7.15,-0.23038457,0.83302791,-2.44606818,-11.34861494,-19.34183703,-9.67076955,00:24.0
3890,Polygon,MATIC,0.426270167,158449192.3,3.2947,0.13689206,1.44911418,-2.47030375,-12.04445711,-28.57530189,-14.3390182,00:24.0
2,Litecoin,LTC,52.26168831,208317169.6,3.7714,0.13233672,0.21250915,2.53852546,-12.09063822,-28.50358806,-17.38502628,00:24.0
1,Bitcoin,BTC,21424.4611,7330525746,-18.2105,0.00695477,0.58353266,2.47753896,-4.85769865,-10.71764139,-0.28019377,00:29.3
1027,Ethereum,ETH,1321.653135,3018793414,-4.9462,0.06113563,0.88087128,0.1041379,-5.86009891,-13.18124773,-6.07812575,00:29.3
825,Tether USDt,USDT,0.807586862,13848403149,-5.7673,-0.030813,0.0319152,0.04368664,0.14956066,0.02695848,0.03569365,00:29.3
1839,BNB,BNB,173.1725539,489932465.9,68.9735,0.14561659,0.97648032,-0.29463347,-4.63107227,-10.27589052,-13.25729251,00:29.3
52,XRP,XRP,0.404009105,494712799.4,-32.8867,0.08735883,1.2026409,-0.78950831,-13.17162392,-33.31313512,1.40029905,00:29.3
3408,USD Coin,USDC,0.807528678,1724936313,-19.0142,-0.03152466,0.01536022,-0.0045459,0.01574496,0.03150204,-0.00846856,00:29.3
2010,Cardano,ADA,0.202082958,89764525.05,-1.185,0.05724923,1.06050008,-1.57518839,-7.06373364,-17.35050643,-6.7805056,00:29.3
74,Dogecoin,DOGE,0.050234377,131410544.3,4.7255,-0.03967391,0.27290426,-2.16471221,-4.80322384,-8.33956603,-1.21619089,00:29.3
5426,Solana,SOL,15.35458994,153633766.7,2.2822,0.04717458,0.75153907,-2.68555128,-17.22789659,-25.11229823,20.62571564,00:29.3
11419,Toncoin,TON,1.809141382,68571265.71,123.2062,2.10176558,13.29884167,25.25530747,61.87321855,62.22176151,58.19330234,00:29.3
1958,TRON,TRX,0.067613564,125222408.5,-20.2038,0.05176324,-0.13384846,5.94625792,12.26016366,5.62543219,18.56362938,00:29.3
4943,Dai,DAI,0.807484792,64484544.79,1.9368,0.02644583,-0.02418957,-0.00743299,0.15567163,0.12253547,-0.02076084,00:29.3
6636,Polkadot,DOT,3.352473336,70961328.68,-7.15,-0.23038457,0.83302791,-2.44606818,-11.34861494,-19.34183703,-9.67076955,00:29.3
3890,Polygon,MATIC,0.426270167,158449192.3,3.2947,0.13689206,1.44911418,-2.47030375,-12.04445711,-28.57530189,-14.3390182,00:29.3
2,Litecoin,LTC,52.26168831,208317169.6,3.7714,0.13233672,0.21250915,2.53852546,-12.09063822,-28.50358806,-17.38502628,00:29.3
1,Bitcoin,BTC,21424.4611,7330525746,-18.2105,0.00695477,0.58353266,2.47753896,-4.85769865,-10.71764139,-0.28019377,00:34.7
1027,Ethereum,ETH,1321.653135,3018793414,-4.9462,0.06113563,0.88087128,0.1041379,-5.86009891,-13.18124773,-6.07812575,00:34.7
825,Tether USDt,USDT,0.807586862,13848403149,-5.7673,-0.030813,0.0319152,0.04368664,0.14956066,0.02695848,0.03569365,00:34.7
1839,BNB,BNB,173.1725539,489932465.9,68.9735,0.14561659,0.97648032,-0.29463347,-4.63107227,-10.27589052,-13.25729251,00:34.7
52,XRP,XRP,0.404009105,494712799.4,-32.8867,0.08735883,1.2026409,-0.78950831,-13.17162392,-33.31313512,1.40029905,00:34.7
3408,USD Coin,USDC,0.807528678,1724936313,-19.0142,-0.03152466,0.01536022,-0.0045459,0.01574496,0.03150204,-0.00846856,00:34.7
2010,Cardano,ADA,0.202082958,89764525.05,-1.185,0.05724923,1.06050008,-1.57518839,-7.06373364,-17.35050643,-6.7805056,00:34.7
74,Dogecoin,DOGE,0.050234377,131410544.3,4.7255,-0.03967391,0.27290426,-2.16471221,-4.80322384,-8.33956603,-1.21619089,00:34.7
5426,Solana,SOL,15.35458994,153633766.7,2.2822,0.04717458,0.75153907,-2.68555128,-17.22789659,-25.11229823,20.62571564,00:34.7
11419,Toncoin,TON,1.809141382,68571265.71,123.2062,2.10176558,13.29884167,25.25530747,61.87321855,62.22176151,58.19330234,00:34.7
1958,TRON,TRX,0.067613564,125222408.5,-20.2038,0.05176324,-0.13384846,5.94625792,12.26016366,5.62543219,18.56362938,00:34.7
4943,Dai,DAI,0.807484792,64484544.79,1.9368,0.02644583,-0.02418957,-0.00743299,0.15567163,0.12253547,-0.02076084,00:34.7
6636,Polkadot,DOT,3.352473336,70961328.68,-7.15,-0.23038457,0.83302791,-2.44606818,-11.34861494,-19.34183703,-9.67076955,00:34.7
3890,Polygon,MATIC,0.426270167,158449192.3,3.2947,0.13689206,1.44911418,-2.47030375,-12.04445711,-28.57530189,-14.3390182,00:34.7
2,Litecoin,LTC,52.26168831,208317169.6,3.7714,0.13233672,0.21250915,2.53852546,-12.09063822,-28.50358806,-17.38502628,00:34.7
1,Bitcoin,BTC,21424.4611,7330525746,-18.2105,0.00695477,0.58353266,2.47753896,-4.85769865,-10.71764139,-0.28019377,00:40.0
1027,Ethereum,ETH,1321.653135,3018793414,-4.9462,0.06113563,0.88087128,0.1041379,-5.86009891,-13.18124773,-6.07812575,00:40.0
825,Tether USDt,USDT,0.807586862,13848403149,-5.7673,-0.030813,0.0319152,0.04368664,0.14956066,0.02695848,0.03569365,00:40.0
1839,BNB,BNB,173.1725539,489932465.9,68.9735,0.14561659,0.97648032,-0.29463347,-4.63107227,-10.27589052,-13.25729251,00:40.0
